,category,hour,location,name,price,url,year
726,MOTOR GRADERS,1043Hours,"ShowLow,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 12M3 AWD 2016,"NT$11,405,611TWD",/en/CATERPILLAR/MOTOR%20GRADERS/12M3%20AWD/2349108/detail_view.html,2016
727,MOTOR GRADERS,399Hours,"Blythe,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 120M2 AWD 2016,"NT$11,289,057TWD",/en/CATERPILLAR/MOTOR%20GRADERS/120M2%20AWD/2460488/detail_view.html,2016
728,MOTOR GRADERS,1302Hours,"Imperial,CA,UnitedStates",CATERPILLAR MOTOR GRADERS 140M3 AWD 2015,"NT$11,172,504TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M3%20AWD/2390892/detail_view.html,2015
729,MOTOR GRADERS,1777Hours,"Vernal,UT,UnitedStates",CATERPILLAR MOTOR GRADERS 160M2 AWD 2014,"NT$11,070,188TWD",/en/CATERPILLAR/MOTOR%20GRADERS/160M2%20AWD/2048761/detail_view.html,2014
730,MOTOR GRADERS,1172Hours,"Prescott,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 12M3 AWD 2016,"NT$10,803,417TWD",/en/CATERPILLAR/MOTOR%20GRADERS/12M3%20AWD/2329835/detail_view.html,2016
731,MOTOR GRADERS,395Hours,"Yuma,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 12M3 2016,"NT$10,697,964TWD",/en/CATERPILLAR/MOTOR%20GRADERS/12M3/2460440/detail_view.html,2016
732,MOTOR GRADERS,2158Hours,"Aurora,CO,UnitedStates",CATERPILLAR MOTOR GRADERS 140M2 AWD 2014,"NT$10,557,400TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M2%20AWD/2068426/detail_view.html,2014
733,MOTOR GRADERS,567Hours,"Flagstaff,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 12M3 2016,"NT$10,478,732TWD",/en/CATERPILLAR/MOTOR%20GRADERS/12M3/2344629/detail_view.html,2016
734,MOTOR GRADERS,896Hours,"Sacramento,CA,UnitedStates",CATERPILLAR MOTOR GRADERS 140M3 2015,"NT$10,406,580TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M3/2488952/detail_view.html,2015
735,MOTOR GRADERS,698Hours,"Flagstaff,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 12M3 2016,"NT$10,226,199TWD",/en/CATERPILLAR/MOTOR%20GRADERS/12M3/2460441/detail_view.html,2016
736,MOTOR GRADERS,848Hours,"Mesa,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 12M3 2016,"NT$10,179,022TWD",/en/CATERPILLAR/MOTOR%20GRADERS/12M3/2330877/detail_view.html,2016
737,MOTOR GRADERS,3612Hours,"Salina,UT,UnitedStates",CATERPILLAR MOTOR GRADERS 160M2 AWDX 2014,"NT$9,923,956TWD",/en/CATERPILLAR/MOTOR%20GRADERS/160M2%20AWDX/2048760/detail_view.html,2014
738,MOTOR GRADERS,1136Hours,"Lindon,UT,UnitedStates",CATERPILLAR MOTOR GRADERS 140M3 ARO 2015,"NT$9,863,628TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M3%20ARO/2379956/detail_view.html,2015
739,MOTOR GRADERS,1686Hours,"Lindon,UT,UnitedStates",CATERPILLAR MOTOR GRADERS 140M3 ARO 2015,"NT$9,818,382TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M3%20ARO/2435878/detail_view.html,2015
740,MOTOR GRADERS,2121Hours,"Ogden,UT,UnitedStates",CATERPILLAR MOTOR GRADERS 140M2 AWD 2014,"NT$9,803,300TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M2%20AWD/2048750/detail_view.html,2014
741,MOTOR GRADERS,5148Hours,"Aurora,CO,UnitedStates",CATERPILLAR MOTOR GRADERS 14M 2012,"NT$9,803,300TWD",/en/CATERPILLAR/MOTOR%20GRADERS/14M/1995593/detail_view.html,2012
742,MOTOR GRADERS,2754Hours,"Hobbs,NM,UnitedStates",CATERPILLAR MOTOR GRADERS 140M2 2013,"NT$9,652,480TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M2/2067803/detail_view.html,2013
743,MOTOR GRADERS,704Hours,"ApacheJunction,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 120M2 2016,"NT$9,482,475TWD",/en/CATERPILLAR/MOTOR%20GRADERS/120M2/2391317/detail_view.html,2016
744,MOTOR GRADERS,1046Hours,"Tucson,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 12M3 2015,"NT$9,438,074TWD",/en/CATERPILLAR/MOTOR%20GRADERS/12M3/2252340/detail_view.html,2015
745,MOTOR GRADERS,1121Hours,"Prescott,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 12M3 2015,"NT$9,321,520TWD",/en/CATERPILLAR/MOTOR%20GRADERS/12M3/2253399/detail_view.html,2015
746,MOTOR GRADERS,1138Hours,"Yuma,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 12M3 2015,"NT$9,318,745TWD",/en/CATERPILLAR/MOTOR%20GRADERS/12M3/2252305/detail_view.html,2015
747,MOTOR GRADERS,1814Hours,"Saltlakecity,UT,UnitedStates",CATERPILLAR MOTOR GRADERS 160M AWD 2009,"NT$9,260,348TWD",/en/CATERPILLAR/MOTOR%20GRADERS/160M%20AWD/2137204/detail_view.html,2009
748,MOTOR GRADERS,1462Hours,"Yuma,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 12M3 2016,"NT$9,243,818TWD",/en/CATERPILLAR/MOTOR%20GRADERS/12M3/2330878/detail_view.html,2016
749,MOTOR GRADERS,3759Hours,"Yuma,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 140M3 AWD 2015,"NT$9,199,416TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M3%20AWD/2263500/detail_view.html,2015
750,MOTOR GRADERS,3102Hours,"Salina,UT,UnitedStates",CATERPILLAR MOTOR GRADERS 140M2 AWD 2014,"NT$9,109,528TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M2%20AWD/2472468/detail_view.html,2014
751,MOTOR GRADERS,1710Hours,"ShowLow,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 12M3 2016,"NT$9,030,136TWD",/en/CATERPILLAR/MOTOR%20GRADERS/12M3/2332918/detail_view.html,2016
752,MOTOR GRADERS,1687Hours,"ApacheJunction,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 12M3 2015,"NT$8,769,278TWD",/en/CATERPILLAR/MOTOR%20GRADERS/12M3/2252745/detail_view.html,2015
753,MOTOR GRADERS,1337Hours,"Yuma,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 140M2 2013,"NT$8,683,250TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M2/2384913/detail_view.html,2013
754,MOTOR GRADERS,1974Hours,"Aurora,CO,UnitedStates",CATERPILLAR MOTOR GRADERS 12M3 2015,"NT$8,657,068TWD",/en/CATERPILLAR/MOTOR%20GRADERS/12M3/2140805/detail_view.html,2015
755,MOTOR GRADERS,3869Hours,"Logan,UT,UnitedStates",CATERPILLAR MOTOR GRADERS 160M2 AWD 2012,"NT$8,657,068TWD",/en/CATERPILLAR/MOTOR%20GRADERS/160M2%20AWD/2429139/detail_view.html,2012
756,MOTOR GRADERS,2228Hours,"Saltlakecity,UT,UnitedStates",CATERPILLAR MOTOR GRADERS 140M2 ARO 2014,"NT$8,355,428TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M2%20ARO/2048680/detail_view.html,2014
757,MOTOR GRADERS,5428Hours,"Aurora,CO,UnitedStates",CATERPILLAR MOTOR GRADERS 140M2 AWD 2012,"NT$8,295,100TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M2%20AWD/2130403/detail_view.html,2012
